stadium,stadium_type,field_type
Candlestick Park,Open,Grass
Levi's Stadium,Open,Grass
Memorial Stadium,Open,Turf
Soldier Field,Open,Grass
Paycor Stadium,Open,Turf
Highmark Stadium,Open,Turf
Empower Field,Open,Grass
Cleveland Browns Stadium,Open,Grass
Raymond James Stadium,Open,Grass
Sun Devil Stadium,Open,Grass
State Farm Stadium,Retractable,Grass
San Diego Stadium,Open,Grass
L.A. Coliseum,Open,Grass
SoFi,Dome,Turf
Arrowhead Stadium,Open,Grass
Hoosier Dome,Dome,Turf
Lucas Oil Stadium,Retractable,Turf
Texas Stadium,Open,Turf
AT&T Stadium,Retractable,Turf
Hard Rock Stadium,Open,Grass
Veterans Stadium,Open,Turf
Lincoln Financial,Open,Grass
Georgia Dome,Dome,Turf
Mercedes-Benz Stadium,Retractable,Turf
Giants Stadium,Open,Turf
MetLife,Open,Turf
EverBank,Open,Grass
Ford Field,Dome,Turf
Lambeau Field,Open,Grass
Bank of America Stadium,Open,Turf
Gillette Stadium,Open,Turf
RingCentral Coliseum,Open,Grass
Allegiant Stadium,Dome,Grass
The Dome at America's Center,Dome,Turf
M&T Bank Stadium,Open,Grass
FedEx Field,Open,Grass
Caesar's Superdome,Dome,Turf
Lumen Field,Open,Turf
Acrisure Stadium,Open,Grass
NRG Stadium,Retractable,Turf
Nissan Stadium,Open,Turf
Metrodome,Dome,Turf
TCF Bank Stadium,Open,Turf
U.S. Bank Stadium,Dome,Turf